"filename", "language", "YAML", "Markdown", "PHP", "JSON", "Properties", "comment", "blank", "total"
"c:\wamp64\www\omika\src\DataFixtures\AppFixtures\ProductFixtures.php", "PHP", 0, 0, 235, 0, 0, 86, 62, 383
"c:\wamp64\www\omika\src\DataFixtures\AppFixtures\RecipeFixtures.php", "PHP", 0, 0, 119, 0, 0, 15, 28, 162
"c:\wamp64\www\omika\src\DataFixtures\AppFixtures\UserFixtures.php", "PHP", 0, 0, 208, 0, 0, 70, 43, 321
"c:\wamp64\www\omika\src\DataFixtures\Provider\AppProvider.php", "PHP", 0, 0, 154, 0, 0, 10, 17, 181
"c:\wamp64\www\omika\src\Entity\BaseEntity.php", "PHP", 0, 0, 59, 0, 0, 0, 14, 73
"c:\wamp64\www\omika\src\Entity\Event\Event.php", "PHP", 0, 0, 222, 0, 0, 7, 63, 292
"c:\wamp64\www\omika\src\Entity\Event\EventInfo.php", "PHP", 0, 0, 73, 0, 0, 0, 21, 94
"c:\wamp64\www\omika\src\Entity\Event\EventRecurring.php", "PHP", 0, 0, 167, 0, 0, 19, 46, 232
"c:\wamp64\www\omika\src\Entity\Event\EventSharedInfo.php", "PHP", 0, 0, 52, 0, 0, 0, 17, 69
"c:\wamp64\www\omika\src\Entity\Event\EventTask.php", "PHP", 0, 0, 41, 0, 0, 1, 15, 57
"c:\wamp64\www\omika\src\Entity\Event\Issue.php", "PHP", 0, 0, 147, 0, 0, 0, 51, 198
"c:\wamp64\www\omika\src\Entity\Event\MonthDay.php", "PHP", 0, 0, 57, 0, 0, 1, 16, 74
"c:\wamp64\www\omika\src\Entity\Event\PeriodDate.php", "PHP", 0, 0, 56, 0, 0, 6, 16, 78
"c:\wamp64\www\omika\src\Entity\Event\Section.php", "PHP", 0, 0, 30, 0, 0, 0, 11, 41
"c:\wamp64\www\omika\src\Entity\Event\Tag.php", "PHP", 0, 0, 105, 0, 0, 7, 33, 145
"c:\wamp64\www\omika\src\Entity\Event\TagInfo.php", "PHP", 0, 0, 53, 0, 0, 0, 21, 74
"c:\wamp64\www\omika\src\Entity\Event\WeekDay.php", "PHP", 0, 0, 58, 0, 0, 6, 16, 80
"c:\wamp64\www\omika\src\Entity\PasswordResetRequest.php", "PHP", 0, 0, 49, 0, 0, 0, 17, 66
"c:\wamp64\www\omika\src\Entity\Product\Product.php", "PHP", 0, 0, 166, 0, 0, 6, 55, 227
"c:\wamp64\www\omika\src\Entity\Product\ProductType.php", "PHP", 0, 0, 30, 0, 0, 0, 12, 42
"c:\wamp64\www\omika\src\Entity\Product\Rupture.php", "PHP", 0, 0, 89, 0, 0, 7, 29, 125
"c:\wamp64\www\omika\src\Entity\RefreshToken.php", "PHP", 0, 0, 20, 0, 0, 0, 5, 25
"c:\wamp64\www\omika\src\Entity\Supplier\DeliveryDay.php", "PHP", 0, 0, 54, 0, 0, 6, 16, 76
"c:\wamp64\www\omika\src\Entity\Supplier\OrderDay.php", "PHP", 0, 0, 54, 0, 0, 6, 16, 76
"c:\wamp64\www\omika\src\Entity\Supplier\Supplier.php", "PHP", 0, 0, 176, 0, 0, 31, 72, 279
"c:\wamp64\www\omika\src\Entity\carte\Dish.php", "PHP", 0, 0, 105, 0, 0, 0, 36, 141
"c:\wamp64\www\omika\src\Entity\carte\DishCategory.php", "PHP", 0, 0, 55, 0, 0, 6, 19, 80
"c:\wamp64\www\omika\src\Entity\carte\Dod.php", "PHP", 0, 0, 77, 0, 0, 0, 27, 104
"c:\wamp64\www\omika\src\Entity\carte\Menu.php", "PHP", 0, 0, 147, 0, 0, 11, 49, 207
"c:\wamp64\www\omika\src\Entity\inventory\Inventory.php", "PHP", 0, 0, 164, 0, 0, 16, 50, 230
"c:\wamp64\www\omika\src\Entity\inventory\KitchenSpace.php", "PHP", 0, 0, 30, 0, 0, 0, 13, 43
"c:\wamp64\www\omika\src\Entity\inventory\ProductInventory.php", "PHP", 0, 0, 66, 0, 0, 0, 21, 87
"c:\wamp64\www\omika\src\Entity\inventory\Room.php", "PHP", 0, 0, 74, 0, 0, 17, 22, 113
"c:\wamp64\www\omika\src\Entity\inventory\RoomProduct.php", "PHP", 0, 0, 55, 0, 0, 0, 17, 72
"c:\wamp64\www\omika\src\Entity\media\Message.php", "PHP", 0, 0, 72, 0, 0, 11, 22, 105
"c:\wamp64\www\omika\src\Entity\media\Mime.php", "PHP", 0, 0, 30, 0, 0, 0, 11, 41
